Hash,Bug Type,Tools (if any),directory
0xe4bedf48aaa5552bc1f49703abd17606e7e6e82a,OOB,syzkaller,
0x217bfbb8b0bfa24619b11ab75c135fec99b99b20,UBI,,sound/core
0xca4c6ebeeb50112f5178f14bfb6d9e8ddf148545,UBI,,
0xf555befd185dc097ede887eb7b308c2e1c1369d4,UBI,,drivers/gpu
0xcf7b2ae4d70432fa94ebba3fbaab825481ae7189,UBI,,drivers/gpu
0xa694ffed876575d1df1a47067444047182de4354,UBI,,drivers/gpu
0xd1b928ee1cfa965a3327bbaa59bfa005d97fa0fe,UBI,,
0x61d791365b72a89062fbbea69aa61479476da946,UBI,,drivers/gpu
0xacd894aee3149c15847bc4f0690fccba59ced5e7,UBI,,sound/soc
0x5c4b642141eb3576213ab59d06ba12e1fa989046,UBI,,fs/cifs
0x1a97d899ecbc4b60c8e8f9b41cde443510b5b1bf,UBI,,fs
0x1771af5cce2d041e6cdd24521e07959691b72401,UBI,,drivers/mtd
0x286e1d3f9ba89c7db5eecd30f47f9e333843ea13,UBI,,drivers/infiniband
71a64f618be9594cd0645105c0989855c0f86d90,REF,,
7ffddd499ba6122b1a07828f023d1d67629aa017,REF,,
0x3577afb0052fca65e67efdfc8e0859bb7bac87a6,UBI,,lib
0x49ecc679ab48b40ca799bf94b327d5284eac9e46,DF,syzkaller,fs/btrfs
49ecc679ab48b40ca799bf94b327d5284eac9e46,REF,,
0x31dcb6c30a26d32650ce134820f27de3c675a45a,UBI,syzkaller,drivers/misc
0x7018c897c2f243d4b5f1b94bc6b4831a7eab80fb,UBI,,
0xe61ab2a320c3dfd6209efe18a575979e07470597,OOB,UBSAN,
0xe90cfa813da7a527785033a0b247594c2de93dd8,UBI,,drivers/usb
0x747d2305029ab9a47eb01beb9d537b69f5a51a94,UBI,compiler,drivers/media
6f733cb2e7db38f8141b14740bcde577844a03b7,NULL,,
47e684aaa2661b2af39474a12d05447865ce9184,INT,,
0xcc17afa2e84f5017bae646a7240b6a43e847a2d7,UBI,compiler,drivers/media
acf104c2331c1ba2a667e65dd36139d1555b1432,INT,,
0x7061b8a52296e044eed47b605d136a48da1a7761,UBI,compiler,sound/soc
e04527fefba6e4e66492f122cf8cc6314f3cf3bf,REF,,
0xdd5e073381f2ada3630f36be42833c6e9c78b75e,OOB,syzkaller,
0x9d7b4a40387d0f91512a74caed6654ffa23d5ce4,UBI,compile,drivers/remoteproc
0xf495acd8851d7b345e5f0e521b2645b1e1f928a0,UBI,,net/wireless
0x9b1e39cf5dd81f33186cdb950fcf75a121f1a9a7,UBI,,
0x718bf42b119de652ebcc93655a1f33a9c0d04b3c,OOB,syzkaller,
0xa4b9c48b96517ff4780b22a784e7537eac5dc21b,UBI,,arch/x86
0x4f134b89a24b965991e7c345b9a4591821f7c2a6,UBI,,lib
0x74a8c816fa8fa7862df870660e9821abb56649fe,UBI,,drivers/net
0xc9344769e2b46ba28b947bec7a8a8f0a091ecd57,UBI,compiler,tools
0x16b8fe4caf499ae8e12d2ab1b1324497e36a7b83,UBI,,drivers/vfio
0xf4d291b43f809b74c66b21f5190cd578af43070b,UBI,,drivers/wireless
0x977d53a614fb7562a80cc2da2b64d426002d47c0,UBI,compiler,drivers/miscs
0xaec9fe892812ed10d0bffcf309d2a8fc380d8ce6,UBI,,
0xcb8563f5c735a042ea2dd7df1ad55ae06d63ffeb,OOB,,drivers/nvme
0x827d329105bfde6701f0077e34a09c4a86e27145,UBI,,
0x8d8d1dbefc423d42d626cf5b81aac214870ebaab,OOB,compiler,fs/cifs
0x70041000450d0a071bf9931d634c8e2820340236,OOB,,sound/soc
1e8aaedb182d6ddffc894b832e4962629907b3e0,REF,,
0xbcd0cf19ef8258ac31b9a20248b05c15a1f4b4b0,OOB,syzkaller,net/sched
0x8a4465368964b4fbaf084760c94c7aabf61059fb,OOB,,net/smc
0x2f80d502d627f30257ba7e3655e71c373b7d1a5a,OOB,syzkaller,arch/x86
0xbd1248f1ddbc48b0c30565fce897a3b6423313b8,OOB,syzkaller,net
0xc06ccf3ebb7503706ea49fd248e709287ef385a3,OOB,syzkaller,sound/usb
f4172b084342fd3f9e38c10650ffe19eac30d8ce,REF,,
0xfd2ddef043592e7de80af53f47fa46fd3573086e,UBI,,
0x5c8193f568ae16f3242abad6518dc2ca6c8eef86,OOB,syzkaller,net/netfilter
0xf051ae4f6c732c231046945b36234e977f8467c6,OOB,compiler,drivers/input
0x175b8d89fe292796811fdee87fa39799a5b6b87a,OOB,syzkaller,sound/core
0x43d5ca88dfcd35e43010fdd818e067aa9a55f5ba,OOB,syzkaller,sound/usb
0xc4c0d19d39d26c5f58633f8fcca75f03b2854fc0,OOB,,fs/ubifs
0x1c0ca9cd1741687f529498ddb899805fc2c51caa,OOB,,drivers/inifiniband
0x3e47495fc4de4122598dd51ae8527b09b8209646,UBI,,
53475c5dd856212e91538a9501162e821cc1f791,REF,ASAN,
0x2d9463083ce92636a1bdd3e30d1236e3e95d859e,OOB,syzkaller,
0xe584bbe821229a3e7cc409eecd51df66f9268c21,OOB,syzkaller,fs/f2fs
0xe51d68e76d604c6d5d1eb13ae1d6da7f6c8c0dfc,OOB,syzkaller,fs/quota
36f72fe2792c4304f1203a44a6a7178e49b447f7,REF,,
0x757fed1d0898b893d7daa84183947c70f27632f3,DF,syzkaller,
3a21777c6ee99749bac10727b3c17e5bcfebe5c1,REF,Trace,
0xe1868b9e36d0ca52e4e7c6c06953f191446e44df,OOB,syzkaller,kernel/bpf
0x7a6eb072a9548492ead086f3e820e9aac71c7138,DF,,drivers/net
8ae291cc95e49011b736b641b0cfad502b7a1526,REF,,
b99a8c8f239d76820bbed33c1a42c381cc1f16db,NULL,UBSAN,
0xdad1b1242fd5717af18ae4ac9d12b9f65849e13a,DF,Abaci fuzz,fs/io_uring
0xc318840fb2a42ce25febc95c4c19357acf1ae5ca,OOB,syzkaller,
73644143b31cb95866c19e0d94be9e3127ec3a6b,NULL,,drivers/gpu
862aecbd9569e563b979c0e23a908b43cda4b0b9,NULL,,drivers/net
13384f6125ad7ebdcc8914fe1e03ded48ce76581,NULL,syzkaller,mm/kasan
0x39b4d43e6003cee51cd119596d3c33d0449eb44c,UBI,,
0x2aa078932ff6c66bf10cc5b3144440dbfa7d813d,UBI,,
292bff9480c8d52fc58028979c4162abd83f1aec,NULL,,drivers/net/
b097efba9580d1f7cbc80cda84e768983e3de541,NULL,coverity,drivers/phy
733c15bd3a944b8eeaacdddf061759b6a83dd3f4,NULL,,drivers/block
e3fab2f3de081e98c50b7b4ace1b040161d95310,INT,,kernel/time
9f65df9c589f249435255da37a5dd11f1bc86f4d,INT,,sound/firewire
e7c22eeaff8565d9a8374f320238c251ca31480b,INT,,sound/firewire
8e92bb0fa75bca9a57e4aba2e36f67d8016a3053,REF,,drivers/gpu
3ddc818d9bb877c64f5c649beab97af86c403702,REF,,drivers/gpu
e7579d5d5b3298f7e888ed07ac16bfb7174c135a,INT,,
3f96d644976825986a93b7b9fe6a9900a80f2e11,REF,,net/decnet
b6011966ac6f402847eb5326beee8da3a80405c7,REF,,drivers/net
952de419b6179ad1424f512d52ec7122662fdf63,REF,,drivers/net
d24c790577ef01bfa01da2b131313a38c843a634,REF,,drivers/net
77b6ec01c29aade01701aa30bf1469acc7f2be76,REF,clang SA,fs/cifs
5541075a348b6ca6ac668653f7d2c423ae8e00b6,REF,,kernel/bpf
c1787ffd0d24eb93eefac2dbba0eac5700da9ff1,REF,,drivers/net
b40f97b91a3b167ab22c9e9f1ef00b1615ff01e9,REF,,net/lapb
f70cc33029fca3cf62bffb15102ea42eb4d097ac,REF,,drivers/rtc
68cbb8056a4c24c6a38ad2b79e0a9764b235e8fa,REF,,fs/ceph
0xb570e5b0592a56c5990ae3aa0fdb93dd9b545d43,UBI,,
0x8b335bff643f3b39935c7377dbcd361c5b605d98,OOB,KASAN,
0x868cbe2a6dcee451bd8f87cbbb2a73cf463b57e5,OOB,,
0xc15b78b4b46bcd9253bf4ab4ef05fb746ac4af,OOB,,
0x6c82d45c7f0348b44e00bd7dcccfc47dec7577d1,DF,,
1e31bea7e622f1890c274f4aaaaf8bccd296aa5,REF,,
6517c9a336f4c20f2064611bf4b1e7881a95fe1,REF,,